id_number,date,retailer,region,state,product,sales_method,price_per_unit,units_sold
1185732,01/01/2021,Foot Locker,Northeast,New York,Nike Shoes,In-store,50,1200
1185732,02/01/2021,Foot Locker,Northeast,New York,Adidas Shoes,In-store,50,1000
1185732,03/01/2021,Foot Locker,Northeast,New York,Puma Shoes,In-store,40,1000
1185732,04/01/2021,Foot Locker,Northeast,New York,Asics Shoes,In-store,45,850
1185732,05/01/2021,Foot Locker,Northeast,New York,New Balance Shoes,In-store,60,900
1185732,06/01/2021,Foot Locker,Northeast,New York,Salomon Shoes,In-store,50,1000
1185732,07/01/2021,Foot Locker,Northeast,New York,Nike Shoes,In-store,50,1250
1185732,08/01/2021,Foot Locker,Northeast,New York,Adidas Shoes,Outlet,50,900
1185732,21/01/2021,Foot Locker,Northeast,New York,Puma Shoes,Outlet,40,950
1185732,22/01/2021,Foot Locker,Northeast,New York,Asics Shoes,Outlet,45,825
1185732,23/01/2021,Foot Locker,Northeast,New York,New Balance Shoes,Outlet,60,900
1185732,24/01/2021,Foot Locker,Northeast,New York,Salomon Shoes,Outlet,50,1000
1185732,25/01/2021,Foot Locker,Northeast,New York,Nike Shoes,Outlet,50,1220
1185732,26/01/2021,Foot Locker,Northeast,New York,Adidas Shoes,Outlet,50,925
1185732,27/01/2021,Foot Locker,Northeast,New York,Puma Shoes,Outlet,40,950
1185732,28/01/2021,Foot Locker,Northeast,New York,Asics Shoes,Outlet,45,800
1185732,29/01/2021,Foot Locker,Northeast,New York,New Balance Shoes,Outlet,60,850
1185732,30/01/2021,Foot Locker,Northeast,New York,Salomon Shoes,Outlet,50,950
1185732,31/01/2021,Foot Locker,Northeast,New York,Nike Shoes,Outlet,50,1200
1185732,01/02/2021,Foot Locker,Northeast,New York,Adidas Shoes,Outlet,50,900
1185732,02/02/2021,Foot Locker,Northeast,New York,Puma Shoes,Outlet,40,900
1185732,03/02/2021,Foot Locker,Northeast,New York,Asics Shoes,Outlet,45,825
1185732,04/02/2021,Foot Locker,Northeast,New York,New Balance Shoes,Outlet,60,825
1185732,05/02/2021,Foot Locker,Northeast,New York,Salomon Shoes,Outlet,50,950
1185732,06/02/2021,Foot Locker,Northeast,New York,Nike Shoes,Outlet,60,1220
1185732,07/02/2021,Foot Locker,Northeast,New York,Adidas Shoes,Outlet,55,925
1185732,08/02/2021,Foot Locker,Northeast,New York,Puma Shoes,Outlet,50,900
1185732,09/02/2021,Foot Locker,Northeast,New York,Asics Shoes,Outlet,50,850
1185732,10/02/2021,Foot Locker,Northeast,New York,New Balance Shoes,Outlet,60,875
1185732,03/03/2021,Foot Locker,Northeast,New York,Salomon Shoes,Outlet,65,1000
1185732,04/03/2021,Foot Locker,Northeast,New York,Nike Shoes,Outlet,60,1250
1185732,05/03/2021,Foot Locker,Northeast,New York,Adidas Shoes,Outlet,55,1000
1185732,06/03/2021,Foot Locker,Northeast,New York,Puma Shoes,Outlet,50,925
1185732,07/03/2021,Foot Locker,Northeast,New York,Asics Shoes,Outlet,50,900
1185732,08/03/2021,Foot Locker,Northeast,New York,New Balance Shoes,Outlet,60,900
1185732,09/03/2021,Foot Locker,Northeast,New York,Salomon Shoes,Outlet,65,1050
1185732,10/03/2021,Foot Locker,Northeast,New York,Nike Shoes,Outlet,60,1275
1185732,11/03/2021,Foot Locker,Northeast,New York,Adidas Shoes,Outlet,55,1025
1185732,12/03/2021,Foot Locker,Northeast,New York,Puma Shoes,Outlet,50,950
1185732,13/03/2021,Foot Locker,Northeast,New York,Asics Shoes,Outlet,50,900
1185732,14/03/2021,Foot Locker,Northeast,New York,New Balance Shoes,Outlet,60,925
1185732,15/03/2021,Foot Locker,Northeast,New York,Salomon Shoes,Outlet,65,1100
1185732,16/03/2021,Foot Locker,Northeast,New York,Nike Shoes,Outlet,60,1250
1185732,17/03/2021,Foot Locker,Northeast,New York,Adidas Shoes,Outlet,55,1025
1185732,18/03/2021,Foot Locker,Northeast,New York,Puma Shoes,Outlet,50,950
1185732,31/03/2021,Foot Locker,Northeast,New York,Asics Shoes,Outlet,50,925
1185732,17/04/2021,Walmart,Northeast,New York,New Balance Shoes,Outlet,60,900
1185732,18/04/2021,Walmart,Northeast,New York,Salomon Shoes,Outlet,65,1075
1185732,19/04/2021,Walmart,Northeast,New York,Nike Shoes,Outlet,60,1200
1185732,20/04/2021,Walmart,Northeast,New York,Adidas Shoes,Outlet,55,1000
1185732,21/04/2021,Walmart,Northeast,New York,Puma Shoes,Outlet,50,925
1185732,22/04/2021,Walmart,Northeast,New York,Asics Shoes,Outlet,50,900
1185732,23/04/2021,Walmart,Northeast,New York,New Balance Shoes,Outlet,60,900
1185732,24/04/2021,Walmart,Northeast,New York,Salomon Shoes,Outlet,65,1000
1185732,25/04/2021,Walmart,Northeast,New York,New Balance Shoes,Outlet,65,875
1185732,26/04/2021,Walmart,Northeast,New York,Salomon Shoes,Outlet,70,1000
1185732,27/04/2021,Walmart,Northeast,New York,Nike Shoes,Outlet,65,1150
1185732,28/04/2021,Walmart,Northeast,New York,Adidas Shoes,Outlet,55,975
1185732,29/04/2021,Walmart,Northeast,New York,Puma Shoes,Outlet,55,920
1185732,30/04/2021,Walmart,Northeast,New York,Asics Shoes,Outlet,55,900
1185732,01/05/2021,Walmart,Northeast,New York,New Balance Shoes,Outlet,65,875
1185732,02/05/2021,Walmart,Northeast,New York,Salomon Shoes,Outlet,70,975
1185732,03/05/2021,Walmart,Northeast,New York,Nike Shoes,Outlet,65,1200
1185732,04/05/2021,Walmart,Northeast,New York,Adidas Shoes,Outlet,55,1000
1185732,05/05/2021,Walmart,Northeast,New York,Puma Shoes,Outlet,55,950
1185732,06/05/2021,Walmart,Northeast,New York,Asics Shoes,Outlet,55,900
1185732,07/05/2021,Walmart,Northeast,New York,New Balance Shoes,Outlet,65,900
1185732,18/07/2021,Walmart,Northeast,New York,Salomon Shoes,Outlet,70,1000
1197831,19/07/2021,Sports Direct,Northeast,New York,Nike Shoes,Outlet,25,900
1197831,20/07/2021,Sports Direct,Northeast,New York,Adidas Shoes,Outlet,35,900
1197831,21/07/2021,Sports Direct,Northeast,New York,Puma Shoes,Outlet,35,700
